Prediction,Actual,diff
27.8,28.0,-0.2
28.2,28.3,-0.1
28.5,28.8,-0.3
29.4,29.0,0.4
29.2,29.2,0.0
29.3,29.4,-0.1
29.6,30.0,-0.4
30.4,30.1,0.3
30.2,30.3,-0.1
30.1,30.1,0.0
30.1,30.4,-0.3
30.4,30.3,0.1
30.5,29.8,0.7
29.6,28.4,1.2
27.9,28.5,-0.6
28.7,28.7,0.0
29.1,29.1,0.0
29.0,28.7,0.3
28.5,29.1,-0.6
29.3,28.8,0.5
28.8,28.7,0.1
28.8,27.8,1.0
27.8,28.1,-0.3
28.2,28.0,0.2
28.0,27.8,0.2
27.7,28.3,-0.6
28.4,28.8,-0.4
28.7,28.6,0.1
28.6,27.8,0.8
27.7,27.7,0.0
27.9,27.8,0.1
27.4,27.9,-0.5
27.9,28.1,-0.2
28.2,28.3,-0.1
28.4,28.4,0.0
28.3,28.6,-0.3
28.8,28.4,0.4
28.6,28.8,-0.2
29.0,29.1,-0.1
29.2,29.2,0.0
29.3,29.3,0.0
29.6,28.6,1.0
28.5,28.3,0.2
28.1,27.4,0.7
27.1,26.4,0.7
26.3,27.0,-0.7
27.0,26.2,0.8
25.7,25.6,0.1
25.2,21.8,3.4
20.9,20.5,0.4
20.2,19.7,0.5
19.3,18.8,0.5
18.2,19.4,-1.2
19.6,18.5,1.1
17.9,17.6,0.3
17.3,17.7,-0.4
18.1,19.7,-1.6
20.6,20.6,0.0
20.8,21.1,-0.3
21.6,21.4,0.2
21.6,22.1,-0.5
22.3,22.9,-0.6
