Prediction,Actual,diff
31.3,31.4,-0.1
31.6,32.0,-0.4
32.4,32.1,0.3
32.2,32.3,-0.1
32.1,32.1,0.0
32.1,32.4,-0.3
32.4,32.3,0.1
32.5,31.8,0.7
31.7,30.4,1.3
29.9,30.5,-0.6
30.7,30.7,0.0
31.1,31.1,0.0
31.0,30.7,0.3
30.5,31.1,-0.6
31.3,30.8,0.5
30.8,30.7,0.1
30.8,29.8,1.0
29.8,30.1,-0.3
30.2,30.0,0.2
30.0,29.8,0.2
29.7,30.3,-0.6
30.3,30.8,-0.5
30.7,30.6,0.1
30.5,29.8,0.7
29.7,29.7,0.0
29.9,29.8,0.1
29.5,29.9,-0.4
29.9,30.1,-0.2
30.2,30.3,-0.1
30.4,30.4,0.0
30.3,30.6,-0.3
30.8,30.4,0.4
30.6,30.8,-0.2
31.0,31.1,-0.1
31.2,31.2,0.0
31.3,31.3,0.0
31.6,30.6,1.0
30.5,30.3,0.2
30.1,29.4,0.7
29.1,28.4,0.7
28.3,29.0,-0.7
29.0,28.2,0.8
27.7,27.6,0.1
27.2,23.8,3.4
22.9,22.5,0.4
22.2,21.7,0.5
21.3,20.8,0.5
20.2,21.4,-1.2
21.6,20.5,1.1
19.9,19.6,0.3
19.3,19.7,-0.4
20.1,21.7,-1.6
22.6,22.6,0.0
22.9,23.1,-0.2
23.6,23.4,0.2
23.7,24.1,-0.4
24.3,24.9,-0.6
25.2,25.2,0.0
26.0,25.5,0.5
25.6,25.7,-0.1
25.9,25.8,0.1
26.3,25.7,0.6
25.5,25.8,-0.3
